ORIGEM,MARCA,MODELO,SERVICO_COMPLETO,PRECO,TIPO_SERVICO,QUALIDADE
IPHONES,IPHONES,IPHONE 7,AURICULAR,89,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE 7 PL,TELA - VIDRO,89,TELA,VIDRO
IPHONES,IPHONES,IPHONE 7 PL,TELA - PRIME,149,TELA,PRIME
IPHONES,IPHONES,IPHONE 7 PL,BATERIA,147,BATERIA,VALOR
IPHONES,IPHONES,IPHONE 7 PL,REPARO EM PLACA - PLACA,336,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE 7 PL,REPARO EM PLACA - REDE/WIFI,499,REPARO EM PLACA,REDE/WIFI
IPHONES,IPHONES,IPHONE 7 PL,REPARO EM PLACA - CUSTO LUAN,150,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE 7 PLUS,CARCAÇAS,295,CARCAÇAS,VALOR
IPHONES,IPHONES,IPHONE 7 PLUS,CAMERA FRONTAL,85,CAMERA FRONTAL,VALOR
IPHONES,IPHONES,IPHONE 7 PLUS,CAMERA TRASEIRA,199,CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 7 PLUS,DOCK DE CARGA - PRIME,149,DOCK DE CARGA,PRIME
IPHONES,IPHONES,IPHONE 7 PLUS,LENTE CAMERA TRASEIRA,55,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 7 PLUS,AURICULAR,89,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE 8/SE 2020,TELA - VIDRO,89,TELA,VIDRO
IPHONES,IPHONES,IPHONE 8/SE 2020,TELA - PRIME,135,TELA,PRIME
IPHONES,IPHONES,IPHONE 8,BATERIA,145,BATERIA,VALOR
IPHONES,IPHONES,IPHONE 8,TAMPA TRASEIRA,115,TAMPA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 8,REPARO EM PLACA - PLACA,336,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE 8,REPARO EM PLACA - REDE/WIFI,499,REPARO EM PLACA,REDE/WIFI
IPHONES,IPHONES,IPHONE 8,REPARO EM PLACA - CUSTO LUAN,150,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE 8,CARCAÇAS,319,CARCAÇAS,VALOR
IPHONES,IPHONES,IPHONE 8,CAMERA FRONTAL,85,CAMERA FRONTAL,VALOR
IPHONES,IPHONES,IPHONE 8,CAMERA TRASEIRA,199,CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 8,DOCK DE CARGA - PRIME,149,DOCK DE CARGA,PRIME
IPHONES,IPHONES,IPHONE 8,LENTE CAMERA TRASEIRA,55,LENTE CAMERA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 8,AURICULAR,89,AURICULAR,VALOR
IPHONES,IPHONES,IPHONE 8 PL,TELA - VIDRO,99,TELA,VIDRO
IPHONES,IPHONES,IPHONE 8 PL,TELA - PRIME,179,TELA,PRIME
IPHONES,IPHONES,IPHONE 8 PL,BATERIA,145,BATERIA,VALOR
IPHONES,IPHONES,IPHONE 8 PLUS,TAMPA TRASEIRA,115,TAMPA TRASEIRA,VALOR
IPHONES,IPHONES,IPHONE 8 PLUS,REPARO EM PLACA - PLACA,336,REPARO EM PLACA,PLACA
IPHONES,IPHONES,IPHONE 8 PLUS,REPARO EM PLACA - REDE/WIFI,550,REPARO EM PLACA,REDE/WIFI
IPHONES,IPHONES,IPHONE 8 PLUS,REPARO EM PLACA - CUSTO LUAN,150,REPARO EM PLACA,CUSTO LUAN
IPHONES,IPHONES,IPHONE 8 PLUS,CARCAÇAS,319,CARCAÇAS,VALOR
